OBJECTID *,Rating_hp,Cost_2006,Cost_2012,Cost_2002,Embodied_Energy_MJ,Emissions_kgCO_eq,Wt_kg
2,0.05,78.448214,90.215447,70.480818,598.382142,39.6807,14
3,0.1,159.366216,183.271149,143.180585,1215.603166,80.610669,14
4,0.15,206.700213,237.705245,185.707223,1576.65432,104.553166,14
5,0.2,240.284218,276.326851,215.880352,1832.82419,121.540638,14
6,0.25,653,750.95,586.679688,4980.910547,330.300664,14
7,0.3,766,880.9,688.203125,5842.844531,387.458359,14
8,0.35,879,1010.85,789.726563,6704.778516,444.616055,14
9,0.4,948,1090.2,851.71875,7231.092188,479.517656,14
10,0.45,1017,1169.55,913.710938,7757.405859,514.419258,14
11,0.5,1086,1248.9,975.703125,8283.719531,549.320859,14
12,1,1747,2009.05,1569.570313,13325.65195,883.668086,22.5
13,2,2000,2300,1796.875,15255.46875,1011.640625,25
14,3,2000,2300,1796.875,15255.46875,1011.640625,30.4
15,4,2000,2300,1796.875,15255.46875,1011.640625,35
16,5,2000,2300,1796.875,15255.46875,1011.640625,45
17,6,2500,2875,2246.09375,19069.33594,1264.550781,45
18,7,2800,3220,2515.625,21357.65625,1416.296875,63.5
19,8,3000,3450,2695.3125,22883.20313,1517.460938,63.5
20,9,3600,4140,3234.375,27459.84375,1820.953125,77
21,10,4200,4830,3773.4375,32036.48438,2124.445313,77
22,20,4700,5405,4222.65625,35850.35156,2377.355469,94
23,30,5500,6325,4941.40625,41952.53906,2782.011719,120
24,40,5700,6555,5121.09375,43478.08594,2883.175781,143
25,50,8100,9315,7277.34375,61784.64844,4097.144531,164
26,60,8600,9890,7726.5625,65598.51563,4350.054688,183
27,70,5600,6440,5031.25,42715.3125,2832.59375,210
28,80,10000,11500,8984.375,76277.34375,5058.203125,210
29,90,10950,12592.5,9837.890625,83523.69141,5538.732422,230
30,100,11900,13685,10691.40625,90770.03906,6019.261719,250
31,150,18700,21505,16800.78125,142638.6328,9458.839844,318
32,200,18800,21620,16890.625,143401.4063,9509.421875,378
33,250,19300,22195,17339.84375,147215.2734,9762.332031,400
34,300,19500,22425,17519.53125,148740.8203,9863.496094,450
